title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Joseph,P.,Kennedy,III,,D,MA,4,True,M,202-225-5931,202-225-0182,https://kennedy.house.gov,,434 Cannon House Office Building,K000379,141275,H2MA04073,412543,N00034044,RepJoeKennedy,,,301936109927957,,,1980-10-04,Rep.Kennedy@opencongress.org
Rep,Derek,,Kilmer,,,D,WA,6,True,M,202-225-5916,,https://kilmer.house.gov,,1520 Longworth House Office Building,K000381,51516,H2WA06129,412583,N00034453,RepDerekKilmer,,,derek.kilmer,,,1974-01-01,Rep.Kilmer@opencongress.org
Rep,Ro,,Khanna,,,D,CA,17,True,M,202-225-2631,,https://khanna.house.gov,,513 Cannon House Office Building,K000389,29473,H4CA12055,412684,N00026427,RepRoKhanna,,,RepRoKhanna,,,1976-09-13,Rep.Khanna@opencongress.org
Rep,Ruben,,Kihuen,,,D,NV,4,True,M,202-225-9894,,https://kihuen.house.gov,,313 Cannon House Office Building,K000390,66851,H2NV00050,412716,N00033530,RepKihuen,,,RepKihuen,,,1980-04-25,Rep.Kihuen@opencongress.org
Rep,Grace,,Meng,,,D,NY,6,True,F,202-225-2601,202-225-1589,https://meng.house.gov,,1317 Longworth House Office Building,M001188,69157,H2NY06116,412560,N00034547,RepGraceMeng,,,repgracemeng,,,1975-10-01,Rep.Meng@opencongress.org
Rep,Seth,,Moulton,,,D,MA,6,True,M,202-225-8020,202-225-5915,https://moulton.house.gov,,1408 Longworth House Office Building,M001196,146299,H4MA06090,412632,N00035431,teammoulton,,,CongressmanSethMoulton,,,1978-10-24,Rep.Moulton@opencongress.org
Rep,Stephanie,,Murphy,,,D,FL,7,True,F,202-225-4035,,https://stephaniemurphy.house.gov,,1237 Longworth House Office Building,M001202,173426,H6FL07140,412694,N00040133,RepStephMurphy,,http://youtube.com/RepStephMurphy,RepStephMurphy,,,1978-09-16,Rep.Stephaniemurphy@opencongress.org
Rep,Glenn,C.,Nye,,,D,VA,2,False,M,,,http://nye.house.gov,,,N000183,109342,H8VA02046,412301,N00029784,,http://www.opencongress.org/wiki/Glenn_Nye,,,,,1974-09-09,
Rep,Jared,,Polis,,,D,CO,2,True,M,202-225-2161,202-226-7840,https://polis.house.gov,,1727 Longworth House Office Building,P000598,106220,H8CO02137,412308,N00029127,RepJaredPolis,http://www.opencongress.org/wiki/Jared_Polis,http://youtube.com/JaredPolis31275,jaredpolis,,,1975-05-12,Rep.Polis@opencongress.org
Rep,Thomas,S. P.,Perriello,,,D,VA,5,False,M,,,http://perriello.house.gov,,,P000600,109344,H8VA05106,412304,N00029339,,http://www.opencongress.org/wiki/Tom_Perriello,,,,,1974-10-09,
Rep,Kyrsten,,Sinema,,,D,AZ,9,True,F,202-225-9888,202-225-9731,https://sinema.house.gov,,1725 Longworth House Office Building,S001191,28338,H2AZ09019,412509,N00033983,RepSinema,,http://youtube.com/repsinema,CongresswomanSinema,,,1976-07-12,Rep.Sinema@opencongress.org
Rep,Eric,,Swalwell,,,D,CA,15,True,M,202-225-5065,,https://swalwell.house.gov,,129 Cannon House Office Building,S001193,129529,H2CA15094,412514,N00033508,RepSwalwell,,http://youtube.com/ericswalwell,CongressmanEricSwalwell,,,1980-11-16,Rep.Swalwell@opencongress.org
Rep,Darren,,Soto,,,D,FL,9,True,M,202-225-9889,,https://soto.house.gov,,1429 Longworth House Office Building,S001200,67618,H6FL09179,412695,N00037422,RepDarrenSoto,,http://youtube.com/repdarrensoto,CongressmanDarrenSoto,,,1978-02-25,Rep.Soto@opencongress.org
